Tahun;Migas;Non Migas
1975;4769.8;4561.3
1976;5673.1;5235.4
1977;732.0;5498.3
1978;579.7;6110.7
1979;793.3;6409.0
1980;1744.0;9090.4
1981;1721.3;11550.8
1982;3544.8;13314.1
1983;4144.8;12207.0
1984;2696.8;11185.3
1985;1275.6;8983.5
1986;1086.4;9632.0
1987;1067.9;11302.4
1988;909.0;12339.5
1989;1195.2;15164.4
1990;11659.7;40456.8
1991;14021.5;40062.3
1992;13806.7;49489.4
1993;2170.5;26157.3
1994;2367.2;29621.4
1995;2910.8;37743.3
1996;3589.7;39338.9
1997;3924.1;37755.7
1998;2653.7;24683.2
1999;3681.1;20322.2
2000;6019.5;27495.3
2001;5471.8;25490.3
2002;6525.8;24763.1
2003;7610.9;24939.8
2004;11732.0;34792.5
2005;17457.7;40243.2
2006;18962.9;42102.6
2007;21932.8;52540.6
2008;30552.9;98644.4
2009;18980.7;77848.5
2010;27412.7;108250.6
2011;40701.6;136734.1
2012;42564.4;149126.6
2013;45266.4;141362.3
2014;43459.9;134718.9
2015;24613.1;118081.4
2016;18739.4;116913.4
2017;24316.3;132669.3
2018;29868.8;158842.4
2019;21885.3;148842.1
